"","ERR5236650_f_Aligned.sortedByCoord.out.tsv","ERR5236654_f_Aligned.sortedByCoord.out.tsv","ERR5236653_f_Aligned.sortedByCoord.out.tsv","ERR5236624_f_Aligned.sortedByCoord.out.tsv","ERR5236633_f_Aligned.sortedByCoord.out.tsv","ERR5236639_f_Aligned.sortedByCoord.out.tsv","ERR5236618_f_Aligned.sortedByCoord.out.tsv","ERR5236622_m_Aligned.sortedByCoord.out.tsv","ERR5236635_m_Aligned.sortedByCoord.out.tsv","ERR5236655_m_Aligned.sortedByCoord.out.tsv","ERR5236616_m_Aligned.sortedByCoord.out.tsv","ERR5236625_m_Aligned.sortedByCoord.out.tsv","ERR5236641_m_Aligned.sortedByCoord.out.tsv","ERR5236631_m_Aligned.sortedByCoord.out.tsv","ERR5236648_m_Aligned.sortedByCoord.out.tsv","ERR5236642_m_Aligned.sortedByCoord.out.tsv","ERR5236652_m_Aligned.sortedByCoord.out.tsv"
"AC003002.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AC003002.2",7,7,10,17,3,13,1,3,1,20,19,16,8,13,11,10,7
"AC003002.3",3,14,18,8,3,4,0,0,0,15,9,7,14,4,11,13,12
"AC003005.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AC003005.2",7,3,3,2,2,4,0,0,0,6,0,3,3,4,0,7,2
"AC003006.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AC003009.1",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"AC003035.1",232,91,69,50,105,44,153,39,157,45,54,12,32,42,42,32,60
"AC003035.2",5,2,6,2,9,5,3,0,1,2,2,0,2,2,0,1,2
"AC003043.1",0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0
"AC003043.2",6,13,9,13,12,10,2,13,9,3,7,19,5,23,6,9,5
"AC003045.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AC003070.1",1,0,1,2,0,2,0,0,0,2,2,3,1,1,1,1,2
"AC003070.2",0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0
"AC003070.7",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AC003071.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AC003071.2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AC003072.1",316,84,79,273,337,178,186,127,203,85,109,173,105,292,70,108,127
"AC003080.1",0,0,0,0,2,0,1,0,0,1,0,1,0,0,1,1,0
"AC003084.1",0,0,2,0,0,0,0,3,0,0,2,0,0,1,2,0,0
"AC003087.1",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AC003092.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"AC003092.2",2,0,1,6,1,0,0,0,3,0,0,0,3,1,0,2,2
"AC003098.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AC003101.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AC003101.2",0,0,0,2,0,0,3,5,0,0,0,0,0,0,1,2,0
"AC003101.3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AC003102.1",545,303,315,553,434,394,337,325,373,220,497,321,283,692,345,250,402
"AC003659.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AC003666.1",0,1,0,0,1,0,0,0,1,0,0,0,1,0,0,1,1
"AC003669.1",0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
"AC003681.1",149,273,316,183,115,201,49,108,129,170,212,222,335,88,496,489,264
"AC003682.1",0,2,10,1,0,1,0,0,1,1,0,3,6,1,3,2,5
"AC003684.1",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"AC003685.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AC003685.2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AC003686.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AC003687.1",1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"AC003688.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AC003688.2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AC003950.1",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"AC003956.1",9,18,28,16,8,14,4,4,1,8,27,14,12,6,22,18,18
"AC003957.1",3,2,0,0,0,1,0,0,0,0,1,2,2,0,0,2,0
"AC003958.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AC003958.2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"AC003965.1",35,11,17,40,19,12,18,14,24,15,13,27,17,9,9,7,11
"AC003965.2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AC003973.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AC003973.2",2,1,0,0,0,0,0,0,0,0,0,1,0,0,0,2,0
"AC003973.3",16,9,30,47,21,23,8,2,2,27,6,21,32,14,31,15,19
"AC003975.1",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AC003982.1",8,3,0,7,6,2,5,1,10,2,3,2,4,4,2,2,1
"AC003984.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"AC003985.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AC003985.2",0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0
"AC003986.1",0,0,0,1,0,0,0,1,0,0,4,5,0,1,0,3,1
"AC003986.2",0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
"AC003986.3",0,0,1,0,1,0,0,2,0,0,0,0,0,0,0,0,0
"AC003988.1",0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1
"AC003989.1",0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
"AC003989.2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
"AC003991.1",0,3,1,3,1,0,0,1,0,4,3,4,1,2,2,0,0
"AC003991.2",0,0,3,0,0,1,0,0,1,2,0,0,1,1,0,0,0
"AC003992.1",2,0,0,0,1,1,3,1,1,1,4,1,1,0,1,1,3
"AC004000.1",1,0,0,0,0,0,3,9,3,0,0,0,0,0,2,1,1
"AC004004.1",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
"AC004006.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AC004009.1",0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,1,0
"AC004009.2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AC004009.3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AC004012.1",1,0,2,0,0,1,2,1,4,0,0,0,0,0,0,0,0
"AC004014.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AC004014.2",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AC004022.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AC004022.2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AC004023.1",3,4,3,3,1,0,1,2,0,2,2,2,0,5,2,1,2
"AC004024.1",4,2,5,0,0,0,0,1,1,3,0,1,7,0,3,7,0
"AC004034.1",43,24,48,26,49,29,32,8,23,29,46,15,26,16,33,24,42
"AC004039.1",57,37,54,30,46,32,23,4,7,28,19,12,45,34,36,50,18
"AC004052.1",0,0,0,1,1,0,1,0,1,1,1,1,0,3,1,1,0
"AC004053.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AC004054.1",0,0,1,0,0,1,0,0,0,1,0,0,1,0,1,0,1
"AC004057.1",21,4,3,4,4,3,4,1,7,5,2,1,2,3,2,1,13
"AC004062.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AC004063.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"AC004066.1",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AC004066.2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AC004067.1",13,33,15,36,44,20,19,21,32,23,42,25,20,28,23,21,30
"AC004069.1",38,54,161,36,52,55,38,40,58,21,43,56,32,63,47,163,62
"AC004069.2",0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"AC004074.1",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"AC004076.1",27,18,21,13,8,13,1,0,1,5,15,8,12,14,8,13,7
"AC004076.2",98,66,102,114,107,102,104,79,163,77,85,79,80,151,69,79,68
"AC004080.1",0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"AC004080.2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AC004080.3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AC004080.4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AC004080.5",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AC004080.6",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AC004112.1",5,7,5,4,4,4,3,0,1,8,9,2,13,9,13,5,3
"AC004129.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AC004129.2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AC004129.3",0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,2,0
"AC004130.1",16,4,2,8,10,2,5,12,10,3,11,10,4,3,5,4,3
"AC004134.1",0,2,6,0,0,1,0,0,0,0,0,2,2,0,2,9,0
"AC004147.1",2,1,0,2,0,1,0,1,1,1,1,2,1,1,2,1,1
"AC004147.2",111,137,120,152,148,139,54,40,50,70,156,156,168,102,122,135,79
"AC004147.3",0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,2
"AC004147.4",2,1,0,1,0,0,0,0,0,4,2,0,0,1,0,1,0
"AC004147.5",3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1
"AC004148.1",0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
"AC004148.2",388,289,227,555,365,328,162,45,129,328,348,321,281,276,266,311,456
"AC004156.1",51,55,35,55,61,23,17,78,39,24,50,43,21,54,38,33,22
"AC004158.1",22,28,12,24,27,11,4,6,4,15,14,19,9,17,15,8,4
"AC004160.1",18,20,18,10,21,12,12,5,15,9,12,15,8,16,20,24,11
"AC004160.2",4,2,0,0,4,2,5,1,2,2,1,2,0,2,2,5,3
"AC004217.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AC004217.2",0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0
"AC004221.1",17,16,15,21,30,12,11,18,29,26,23,13,14,24,16,12,23
"AC004223.1",0,0,0,1,0,1,0,0,0,1,0,3,1,0,3,1,1
"AC004223.2",13,11,4,19,6,6,6,2,6,0,4,7,3,2,8,4,8
"AC004223.3",23,12,16,22,29,16,17,15,40,12,20,12,6,35,14,9,15
"AC004224.1",0,1,1,2,2,2,0,2,3,2,2,5,0,1,1,2,6
"AC004224.2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AC004231.1",12,2,12,12,7,15,8,5,8,16,2,8,3,4,7,6,23
"AC004231.3",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1
"AC004232.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AC004232.2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AC004232.3",57,32,31,44,47,23,39,14,40,14,16,32,24,37,8,20,20
"AC004233.1",37,18,28,42,33,22,12,7,10,17,25,30,31,23,38,15,16
"AC004233.2",19,17,22,30,18,14,22,25,35,8,16,18,20,23,21,15,15
"AC004233.3",220,157,172,239,242,120,127,107,176,118,127,182,127,132,134,50,96
"AC004233.4",33,28,28,33,27,30,20,36,27,23,16,16,31,16,21,5,18
"AC004241.1",40,29,12,91,58,27,41,32,36,14,17,31,21,42,12,16,24
"AC004241.2",7,1,1,3,1,4,5,5,0,2,2,3,1,0,4,3,0
"AC004241.3",15,14,7,22,18,6,19,22,31,8,7,9,5,9,3,9,17
"AC004241.4",2,2,1,1,1,1,3,0,0,0,3,1,0,0,1,1,1
"AC004241.5",13,10,7,14,10,16,3,4,3,10,10,12,10,6,12,13,17
"AC004253.1",48,26,30,75,32,38,12,2,3,43,50,31,20,27,30,38,51
"AC004253.2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"AC004257.1",1,0,0,0,0,1,1,0,2,1,0,0,0,0,0,1,0
"AC004263.1",22,10,22,24,17,28,31,50,50,13,17,14,17,20,27,16,28
"AC004264.1",2,2,52,1,13,10,2,9,4,3,3,18,8,13,46,200,77
"AC004264.2",16,25,63,13,9,19,1,0,6,37,27,20,65,10,47,15,24
"AC004381.1",0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,1
"AC004381.2",3,6,4,2,2,4,1,0,0,5,4,4,13,3,10,3,1
"AC004381.3",1,1,0,0,0,0,0,0,0,0,1,1,3,0,2,1,2
"AC004383.1",55,96,150,36,34,84,1,2,4,44,42,37,87,94,72,127,33
"AC004386.1",1,0,0,0,0,0,3,0,1,0,0,0,0,0,0,0,0
"AC004386.2",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AC004408.1",3,0,1,2,0,1,2,0,2,0,1,0,0,0,0,0,0
"AC004408.2",5,2,1,5,4,4,3,4,4,2,4,12,2,1,5,2,1
"AC004415.1",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"AC004448.1",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"AC004448.2",18,9,9,16,7,12,3,6,6,14,10,28,7,46,15,57,8
"AC004448.3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
"AC004449.1",43,16,5,9,16,17,10,10,13,7,21,24,4,24,6,6,5
"AC004453.1",76,47,42,17,26,12,40,41,40,26,22,18,12,24,12,19,53
"AC004453.2",19,24,24,27,7,22,3,3,2,21,16,32,27,16,22,34,18
"AC004461.1",2,2,2,2,1,1,0,2,0,0,1,2,1,1,0,1,0
"AC004461.2",6,16,18,6,2,10,0,1,1,9,5,3,18,3,28,3,9
"AC004466.1",0,1,0,1,2,2,0,0,0,0,0,0,1,1,0,1,0
"AC004466.2",1,3,2,3,0,1,3,3,2,1,3,3,5,1,3,3,0
"AC004466.3",8,11,15,38,4,9,3,2,3,6,12,18,36,4,19,14,6
"AC004467.1",0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,1,1
"AC004470.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AC004471.1",28,16,10,34,24,13,21,6,22,17,9,7,8,18,8,8,24
"AC004471.2",6,3,2,5,5,5,2,12,4,4,4,4,1,4,2,5,3
"AC004477.1",150,60,38,127,90,42,72,33,66,51,45,79,66,102,52,50,68
"AC004477.2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AC004477.3",21,19,16,33,17,10,18,16,13,13,10,15,14,12,16,14,14
"AC004485.1",0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0
"AC004486.1",3,0,0,0,0,0,1,0,0,0,0,1,0,0,1,1,1
"AC004490.1",0,3,5,4,3,3,1,3,4,2,0,3,6,7,7,4,3
"AC004491.1",2,1,1,2,1,1,1,1,0,0,1,1,0,1,2,1,0
"AC004492.1",24,19,42,17,29,27,22,13,16,19,13,19,48,17,50,39,17
"AC004494.1",9,28,24,12,14,15,3,1,7,16,13,10,14,5,19,23,11
"AC004494.2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AC004522.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AC004522.2",6,7,4,9,4,5,1,4,5,13,14,5,8,2,18,6,8
"AC004528.1",5,3,3,8,6,4,11,10,9,2,4,5,1,3,3,2,3
"AC004528.2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AC004540.1",554,1089,659,314,284,337,115,68,101,373,333,191,883,382,727,495,394
"AC004540.2",32,32,30,33,30,23,12,15,9,15,22,24,17,35,20,48,10
"AC004542.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AC004542.2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AC004543.1",0,0,1,0,0,1,0,0,0,0,0,1,1,0,1,0,0
"AC004551.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0
"AC004552.1",1,0,0,5,1,0,1,3,3,1,0,0,1,1,0,0,1
"AC004554.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"AC004554.2",2,2,3,1,0,0,0,1,0,3,2,2,8,3,4,3,1
"AC004584.1",6,7,6,2,1,3,0,0,0,3,4,8,4,0,2,4,4
"AC004584.2",1,0,0,0,0,1,0,1,1,0,0,0,0,0,0,1,0
"AC004584.3",3,9,11,6,3,5,1,1,7,7,6,8,15,6,18,26,5
"AC004585.1",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,1
"AC004585.2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AC004590.1",0,0,0,0,0,2,0,2,0,0,2,0,0,0,0,0,0
"AC004593.1",0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
"AC004593.2",1,1,4,4,3,2,1,1,1,0,6,3,0,3,2,0,0
"AC004593.3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AC004594.1",5,1,4,4,5,7,3,4,3,2,2,8,5,2,9,11,3
"AC004596.1",1,2,1,4,1,1,0,0,0,1,2,3,3,2,0,2,0
"AC004597.1",5,4,0,8,10,5,10,0,6,8,8,0,1,1,5,5,0
"AC004623.1",21,16,32,20,13,13,1,1,4,9,17,26,41,20,19,27,19
"AC004637.1",3,7,25,2,7,9,4,3,5,6,7,6,10,7,11,16,4
"AC004656.1",787,763,1073,781,624,827,358,449,499,491,521,724,669,909,594,1239,734
"AC004672.1",1,2,1,0,0,1,0,0,0,1,1,0,2,0,1,5,2
"AC004672.2",0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1
"AC004674.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AC004678.1",18,14,10,20,11,12,19,27,20,13,21,16,7,11,18,13,6
"AC004678.2",8,7,7,10,8,6,5,6,17,10,7,15,3,3,5,11,4
"AC004687.1",2,6,3,6,12,3,8,12,13,4,7,3,5,5,7,3,5
"AC004687.2",14,6,7,12,4,8,0,0,2,11,10,3,3,4,13,5,4
"AC004690.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AC004690.2",0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0
"AC004691.1",2,1,4,4,0,2,0,2,0,2,1,1,3,0,1,2,1
"AC004691.2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AC004692.1",0,0,0,1,1,0,0,1,0,0,0,0,0,0,1,0,1
"AC004692.2",1,1,1,0,0,0,0,0,1,0,0,0,0,2,1,1,2
"AC004696.1",21,15,24,14,17,10,5,0,10,25,25,10,24,6,32,25,16
"AC004696.2",0,3,3,3,3,1,2,8,7,3,1,1,4,0,8,0,2
"AC004702.1",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
"AC004704.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AC004706.1",39,49,32,64,48,31,13,4,16,49,21,44,43,16,50,41,49
"AC004706.2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AC004706.3",57,50,36,54,48,35,31,32,48,40,37,38,51,42,86,55,53
"AC004707.1",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AC004754.1",64,22,33,78,74,35,82,131,120,24,27,30,18,35,26,34,49
"AC004765.1",1,6,8,3,4,1,2,0,0,1,0,3,2,0,3,14,0
"AC004771.1",12,6,3,10,6,6,2,2,4,2,6,7,5,3,7,2,3
"AC004771.2",4,3,4,3,1,2,0,0,0,6,2,1,1,0,4,1,2
"AC004771.3",3,2,9,6,4,4,0,0,0,6,7,5,16,1,17,15,5
"AC004771.4",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AC004771.5",4,15,24,6,4,6,4,0,1,5,9,6,31,4,19,23,8
"AC004775.1",7,6,5,3,3,6,3,2,2,7,8,3,7,11,4,5,14
"AC004777.1",3,0,4,1,5,1,0,2,4,0,1,1,1,2,2,4,2
"AC004784.1",31,10,14,9,12,5,10,14,21,4,14,18,4,10,2,17,12
"AC004790.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AC004790.2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"AC004792.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AC004801.1",0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AC004801.2",7,1,3,8,8,3,1,0,11,6,2,1,4,2,11,7,5
"AC004801.3",0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
"AC004801.4",0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
"AC004801.5",4,5,0,0,2,0,1,1,0,0,2,1,2,1,0,1,5
"AC004801.6",23,4,8,20,17,17,14,12,18,5,6,5,11,27,13,5,8
"AC004801.7",1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
"AC004803.1",223,156,156,135,127,99,83,73,107,114,130,126,140,125,147,174,117
"AC004805.1",1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"AC004805.2",0,3,0,0,1,1,0,0,1,2,0,0,3,0,0,1,1
"AC004805.3",3,6,10,1,1,6,0,0,0,2,0,1,6,1,6,3,1
"AC004808.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AC004808.2",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0
"AC004812.1",0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0
"AC004812.2",379,209,217,310,294,152,188,95,165,143,192,170,188,290,155,134,159
"AC004816.1",345,198,227,201,258,151,246,103,198,126,172,140,171,251,101,141,163
"AC004816.2",0,0,0,0,1,0,0,3,0,0,1,1,5,1,2,4,1
"AC004817.1",0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0
"AC004817.2",0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
"AC004817.3",0,0,0,0,0,0,0,0,0,1,0,0,0,2,0,1,0
"AC004817.4",1,0,1,0,1,0,0,1,1,2,1,0,1,1,0,0,1
"AC004824.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AC004825.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AC004825.2",22,25,15,23,22,18,18,10,15,13,21,5,8,21,12,17,17
"AC004828.1",0,0,5,1,1,2,1,0,0,0,1,0,1,0,0,0,2
"AC004830.1",133,75,91,55,49,55,19,0,10,21,30,35,64,17,94,27,71
"AC004832.1",19,5,8,8,13,22,6,11,21,6,9,21,9,17,10,6,9
"AC004832.2",5,1,6,4,0,4,1,1,3,0,2,3,5,0,7,9,8
"AC004832.3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AC004832.4",10,8,8,13,22,5,11,5,14,11,11,14,6,6,15,23,16
"AC004832.5",21,17,25,41,18,15,15,12,21,15,15,21,11,10,46,28,25
"AC004832.6",55,27,26,99,76,52,70,164,94,52,77,74,29,45,51,29,64
"AC004834.1",18,14,20,8,7,6,11,4,12,6,14,9,27,11,24,22,12
"AC004835.1",2,2,3,5,2,1,2,1,0,0,5,4,1,0,3,1,3
"AC004835.2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AC004836.1",52,25,14,90,70,52,20,52,47,33,62,78,34,80,24,59,52
"AC004837.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AC004837.2",5,3,5,3,1,5,5,0,3,1,2,5,15,3,7,7,3
"AC004837.3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AC004839.1",4,4,4,7,3,5,3,4,7,2,4,9,0,7,10,4,1
"AC004840.1",1,1,0,1,1,1,2,0,2,0,1,0,0,1,1,1,0
"AC004840.2",0,1,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0
"AC004846.1",15,3,19,14,3,76,4,1,2,2,1,7,12,5,28,14,4
"AC004846.2",43,23,18,39,60,29,54,23,56,21,38,23,32,47,40,19,37
"AC004847.1",20,7,15,12,14,14,2,4,3,9,12,15,4,8,7,7,13
"AC004852.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AC004852.2",0,4,3,0,1,5,1,2,3,3,4,2,4,2,2,9,3
"AC004852.3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AC004853.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AC004854.1",1,4,1,3,0,2,0,0,1,3,1,2,1,0,1,0,1
"AC004854.2",37,14,10,33,52,17,32,23,38,12,16,40,15,28,10,10,16
"AC004858.1",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AC004862.1",32,24,10,39,32,20,18,28,26,24,44,10,14,33,24,16,26
"AC004865.1",0,1,0,1,0,0,1,0,0,0,0,0,2,0,2,0,2
"AC004865.2",41,48,97,60,39,62,19,22,40,49,52,78,93,60,88,71,42
"AC004866.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AC004866.2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AC004869.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AC004869.2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AC004870.1",2,2,0,3,0,0,1,0,0,3,0,2,2,1,4,0,2
"AC004870.2",0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
"AC004870.3",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"AC004870.4",0,0,0,0,0,0,0,0,3,0,2,0,0,1,0,1,1
"AC004872.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AC004875.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AC004877.1",85,54,60,46,66,60,35,41,30,27,75,45,43,106,43,62,57
"AC004877.2",47,25,37,30,38,25,29,27,34,21,28,28,35,42,46,51,37
"AC004882.1",1,0,0,4,0,2,0,0,3,1,2,2,0,1,1,0,1
"AC004882.2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AC004884.1",0,0,0,0,1,1,0,0,0,0,1,1,1,0,0,1,0
"AC004884.2",1,4,1,1,2,5,1,0,0,0,2,1,2,2,2,5,1
"AC004888.1",0,1,0,1,0,0,0,0,0,0,1,1,0,1,0,0,1
"AC004889.1",19,15,6,10,12,9,5,1,1,11,5,7,6,7,5,17,19
"AC004890.1",1,2,0,5,5,2,2,1,5,2,1,1,2,3,0,2,0
"AC004890.2",194,171,288,260,111,152,37,29,42,257,224,168,326,131,272,278,209
"AC004890.3",10,16,6,10,1,8,6,2,4,10,13,5,8,1,3,8,9
"AC004893.1",7,3,5,2,0,3,0,0,0,0,1,1,7,1,8,3,3
"AC004893.2",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"AC004895.1",27,13,10,25,21,9,14,8,12,8,8,16,17,20,11,8,8
"AC004898.1",1,0,0,0,0,0,0,0,2,0,1,0,1,1,0,3,1
"AC004899.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
